company,rating,location,positionName,min_salary,max_salary,average_salary,skills,skill_categories,skills_count_all,skills_count_single,total_skills,city
Publicis Groupe,3.6,"Boston, MA",Senior Data Scientist,87210.0,131230.0,109220.0,"['python', 'r', 'linux', 'statistics', 'hypothesis testing', 'optimization', 'machine learning', 'generative ai', 'data science', 'spark', 'hadoop', 'big data', 'data pipelines', 'sql', 'aws', 'distributed computing', 'operations research']","[0, 0, 0, 1, 1, 1, 2, 2, 2, 4, 4, 4, 4, 5, 6, 9, 10]",17,"[3, 3, 3, 0, 4, 1, 1, 0, 0, 1, 1]",17,Boston
Microsoft,4.2,United States,Data Scientist,119800.0,258000.0,188900.0,"['python', 'c++', 'statistics', 'optimization', 'machine learning', 'data science', 'sql', 'azure', 'economics', 'security', 'operations research']","[0, 0, 1, 1, 2, 2, 5, 6, 10, 10, 10]",11,"[2, 2, 2, 0, 0, 1, 1, 0, 0, 0, 3]",11,United States
"HITACHI GLOBAL AIR POWER US, LLC",0.0,"Michigan City, IN 46360",SAP Materials Master Data Analyst,,,,"['excel', 'finance', 'compliance', 'data governance', 'communication skills']","[7, 10, 10, 10, 10]",5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4]",5,Michigan City
Capital One,3.9,"McLean, VA",Senior Data Scientist - NLP,,,,"['python', 'r', 'scala', 'statistics', 'optimization', 'statistical modeling', 'machine learning', 'nlp', 'natural language processing', 'computer vision', 'generative ai', 'self-supervised learning', 'large language models', 'ai/ml', 'data science', 'pytorch', 'hugging face', 'sql', 'aws', 'economics', 'compliance', 'operations research']","[0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 5, 6, 10, 10, 10]",22,"[3, 3, 9, 2, 0, 1, 1, 0, 0, 0, 3]",22,McLean
Meta,4.0,"Sunnyvale, CA 94089","Data Science Manager, Monetization",206000.0,281000.0,243500.0,"['statistics', 'statistical modeling', 'machine learning', 'artificial intelligence', 'data science', 'data engineering', 'economics', 'finance', 'project management', 'team leadership', 'physics', 'operations research']","[1, 1, 2, 2, 2, 4, 10, 10, 10, 10, 10, 10]",12,"[0, 2, 3, 0, 1, 0, 0, 0, 0, 0, 6]",12,Sunnyvale
Citigroup,3.9,"New York, NY",AI & Data Platform Program Lead - SVP,192000.0,288000.0,240000.0,"['rag', 'prompt engineering', 'ai/ml']","[2, 2, 2]",3,"[0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0]",3,New York
SMX,3.8,"Dahlgren, VA",Senior Data Analyst (4408),105100.0,175100.0,140100.0,"['optimization', 'sql', 'data warehousing', 'business intelligence', 'compliance', 'security', 'data governance']","[1, 5, 5, 7, 10, 10, 10]",7,"[0, 1, 0, 0, 0, 2, 0, 1, 0, 0, 3]",7,Dahlgren
RealmOne,0.0,Maryland,Data Scientist 3,157000.0,215000.0,186000.0,"['python', 'linear algebra', 'probability', 'statistics', 'hypothesis testing', 'machine learning', 'artificial intelligence', 'data science', 'data mining', 'data modeling', 'security', 'physics', 'chemistry', 'operations research']","[0, 1, 1, 1, 1, 2, 2, 2, 2, 5, 10, 10, 10, 10]",14,"[1, 4, 4, 0, 0, 1, 0, 0, 0, 0, 4]",14,Maryland
Information Technology Senior Management Forum,0.0,"New York, NY",Senior Machine Learning Engineer,158600.0,197400.0,178000.0,"['python', 'java', 'scala', 'machine learning', 'data science', 'tensorflow', 'pytorch', 'spark', 'big data', 'data pipelines', 'data engineering', 'aws', 'azure', 'explainable ai', 'distributed computing', 'dask', 'compliance']","[0, 0, 0, 2, 2, 3, 3, 4, 4, 4, 4, 6, 6, 8, 9, 9, 10]",17,"[3, 0, 2, 2, 4, 0, 2, 0, 1, 2, 1]",17,New York
Meta,4.0,"New York, NY","GenAI Project Manager, Product Data Operations",93000.0,136000.0,114500.0,"['machine learning', 'artificial intelligence', 'sql', 'sheets', 'project management', 'physics']","[2, 2, 5, 7, 10, 10]",6,"[0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 2]",6,New York
Parsons,3.9,"Annapolis Junction, MD",Senior Data Scientist,120800.0,217400.0,169100.0,"['python', 'r', 'matlab', 'statistics', 'machine learning', 'artificial intelligence', 'data mining', 'data pipelines', 'sql', 'power bi', 'security']","[0, 0, 0, 1, 2, 2, 2, 4, 5, 7, 10]",11,"[3, 1, 3, 0, 1, 1, 0, 1, 0, 0, 1]",11,Annapolis Junction
