positionName,company,location,min_salary,max_salary,skills,skill_categories,skills_count_single
Senior AI/ML Engineer – Agentic AI Systems (Remote/Hybrid),DNS Solutions Inc.,United States,170000.0,400000.0,"['python', 'reinforcement learning', 'llm', 'rag', 'prompt engineering', 'ai/ml', 'aws', 'azure', 'gcp', 'docker']","[0, 2, 2, 2, 2, 2, 6, 6, 6, 6]","[1.0, 0.0, 5.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0]"
Workforce Optimization Data Science & Analytics Lead - Vice President,Citigroup,"Irving, TX",138720.0,208080.0,"['python', 'r', 'statistics', 'regression', 'time series analysis', 'optimization', 'artificial intelligence', 'data science', 'data pipelines', 'sql', 'data modeling', 'tableau', 'power bi', 'economics', 'finance', 'critical thinking']","[0, 0, 1, 1, 1, 1, 2, 2, 4, 5, 5, 7, 7, 10, 10, 10]","[2.0, 4.0, 2.0, 0.0, 1.0, 2.0, 0.0, 2.0, 0.0, 0.0, 3.0]"
Associate Value Engineer (AI-Driven Data Science & Analytics) - Orbit Program,Celonis,"Raleigh, NC",111618.75649999996,188272.1376,"['python', 'machine learning', 'data science', 'big data', 'sql', 'oracle', 'tableau', 'power bi', 'economics', 'finance', 'communication skills']","[0, 2, 2, 4, 5, 5, 7, 7, 10, 10, 10]","[1.0, 0.0, 2.0, 0.0, 1.0, 2.0, 0.0, 2.0, 0.0, 0.0, 3.0]"
"AI Tutor, Economics Specialist (contract), Handshake AI",Handshake,United States,114400.0,208000.0,"['llm', 'economics', 'finance']","[2, 10, 10]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]"
Machine Learning Engineer (Eligible for Secret Clearance),OST Inc,"Boston, MA 02115",145600.0,208000.0,"['python', 'optimization', 'machine learning', 'deep learning', 'rag', 'prompt engineering', 'tensorflow', 'pytorch', 'data pipelines', 'aws', 'kubernetes', 'mlflow']","[0, 1, 2, 2, 2, 2, 3, 3, 4, 6, 6, 8]","[1.0, 1.0, 4.0, 2.0, 1.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0]"
ML/AI Operations Architect – Evinova,AstraZeneca,"Gaithersburg, MD 20878",167772.0,251658.0,"['typescript', 'machine learning', 'artificial intelligence', 'data science', 'foundation models', 'airflow', 'aws', 'gcp', 'sagemaker', 'kubernetes', 'ci/cd', 'Kubeflow', 'llmops', 'compliance', 'security', 'communication skills']","[0, 2, 2, 2, 2, 4, 6, 6, 6, 6, 6, 6, 8, 10, 10, 10]","[1.0, 0.0, 4.0, 0.0, 1.0, 0.0, 6.0, 0.0, 1.0, 0.0, 3.0]"
"Data Engineering Manager, Analytics",Facebook App,"Menlo Park, CA",173000.0,242000.0,"['python', 'java', 'machine learning', 'artificial intelligence', 'data science', 'hadoop', 'big data', 'data engineering', 'sql', 'data warehousing', 'data visualization', 'business intelligence', 'project management', 'physics']","[0, 0, 2, 2, 2, 4, 4, 4, 5, 5, 7, 7, 10, 10]","[2.0, 0.0, 3.0, 0.0, 3.0, 2.0, 0.0, 2.0, 0.0, 0.0, 2.0]"
Senior AI Workflow Engineer,NVIDIA,"Santa Clara, CA 95050",224000.0,356500.0,"['python', 'javascript', 'react', 'probability', 'machine learning', 'deep learning', 'large language models', 'llm', 'rag', 'artificial intelligence', 'mysql', 'mongodb', 'elasticsearch', 'aws', 'azure', 'gcp', 'terraform', 'ansible', 'jenkins', 'gitlab', 'ci/cd']","[0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6]","[3.0, 1.0, 6.0, 0.0, 0.0, 3.0, 8.0, 0.0, 0.0, 0.0, 0.0]"
"AI Tutor, Chemical Engineering Specialist (Contract), Handshake AI",Handshake,United States,114400.0,208000.0,"['llm', 'ai engineering', 'critical thinking', 'communication skills']","[2, 2, 10, 10]","[0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]"
WFM Data Analytics Consultant - Store Ops AI & Innovation,Lowe's,"Mooresville, NC",137348.51,196630.122,"['python', 'r', 'java', 'c', 'optimization', 'data science', 'sql', 'data modeling', 'excel', 'sheets', 'tableau', 'power bi', 'data visualization', 'business intelligence', 'finance', 'project management']","[0, 0, 0, 0, 1, 2, 5, 5, 7, 7, 7, 7, 7, 7, 10, 10]","[4.0, 1.0, 1.0, 0.0, 0.0, 2.0, 0.0, 6.0, 0.0, 0.0, 2.0]"
